seil,dist,nb_saud,%saud_/total,nb_saud_hcc,saud_hcc/saud
0.5,5.57,458508,16.64,5788,1.26
0.53,5.51,312809,11.35,5732,1.83
0.56,5.45,305744,11.1,5669,1.85
0.59,5.41,273959,9.94,5597,2.04
0.62,5.33,252992,9.18,5518,2.18
0.65,5.23,233396,8.47,5399,2.31
0.68,5.16,220516,8.0,5290,2.4
0.71,5.06,210593,7.64,5135,2.44
0.74,4.89,197061,7.15,4923,2.5
0.77,4.61,175105,6.36,4685,2.68
0.8,4.05,102780,3.73,4302,4.19
0.803,3.97,92120,3.34,4259,4.62
0.806,3.96,89441,3.25,4230,4.73
0.81,3.78,87213,3.17,4143,4.75
0.813,3.72,72685,2.64,4098,5.64
0.816,3.67,69532,2.52,4059,5.84
0.819,3.64,66659,2.42,4028,6.04
0.822,3.58,64743,2.35,3981,6.15
0.826,3.46,54839,1.99,3918,7.14
0.829,3.44,46698,1.69,3885,8.32
0.832,3.34,46584,1.69,3837,8.24
0.835,3.22,45962,1.67,3765,8.19
0.838,3.21,45519,1.65,3731,8.2
0.842,3.05,45372,1.65,3651,8.05
0.845,3.0,41472,1.51,3615,8.72
0.848,2.88,41238,1.5,3533,8.57
0.851,2.8,34280,1.24,3484,10.16
0.854,2.69,28010,1.02,3413,12.18
0.858,2.63,27744,1.01,3370,12.15
0.861,2.57,24689,0.9,3309,13.4
0.864,2.55,24351,0.88,3272,13.44
0.867,2.46,24164,0.88,3208,13.28
0.87,2.38,23822,0.86,3127,13.13
0.874,2.21,20412,0.74,3024,14.81
0.877,2.01,16619,0.6,2918,17.56
0.88,1.91,16299,0.59,2849,17.48
0.883,1.75,16056,0.58,2754,17.15
0.886,1.66,15466,0.56,2651,17.14
0.89,1.58,14856,0.54,2564,17.26
0.893,1.56,14524,0.53,2503,17.23
0.896,1.5,13920,0.51,2441,17.54
0.899,1.45,13261,0.48,2369,17.86
0.902,1.42,12907,0.47,2310,17.9
0.906,1.36,11756,0.43,2222,18.9
0.909,1.39,11450,0.42,2183,19.07
0.912,1.36,10549,0.38,2140,20.29
0.915,1.28,10256,0.37,2025,19.74
0.918,1.29,9785,0.36,1973,20.16
0.922,1.24,9236,0.34,1856,20.1
0.925,1.17,8683,0.32,1763,20.3
0.928,1.11,7977,0.29,1653,20.72
0.931,1.15,7506,0.27,1581,21.06
0.934,1.08,7252,0.26,1489,20.53
0.938,0.98,6746,0.24,1328,19.69
0.941,1.02,6289,0.23,1229,19.54
0.944,1.01,5600,0.2,1050,18.75
0.947,1.05,5279,0.19,942,17.84
0.95,0.87,5085,0.18,824,16.2
0.954,0.83,4802,0.17,673,14.01
0.957,0.58,4347,0.16,566,13.02
0.96,0.56,3925,0.14,455,11.59
0.964,0.83,3520,0.13,343,9.74
0.969,1.31,2496,0.09,251,10.06
0.973,1.41,1554,0.06,165,10.62
0.978,2.27,542,0.02,96,17.71
0.982,3.38,193,0.01,64,33.16
0.987,2.93,51,0.0,22,43.14
0.991,4.97,15,0.0,5,33.33
