seil,dist,nb_saud,%saud_/total,nb_saud_hcc,saud_hcc/saud
0.5,4.58,465394,16.89,7096,1.52
0.53,4.5,317792,11.53,7052,2.22
0.56,4.46,313605,11.38,7028,2.24
0.59,4.4,276294,10.03,6991,2.53
0.62,4.36,266349,9.67,6954,2.61
0.65,4.27,243732,8.85,6875,2.82
0.68,4.14,230299,8.36,6740,2.93
0.71,3.98,214588,7.79,6578,3.07
0.74,3.77,209492,7.6,6423,3.07
0.77,3.52,185626,6.74,6185,3.33
0.8,3.02,131988,4.79,5764,4.37
0.803,2.92,112350,4.08,5686,5.06
0.806,2.88,104090,3.78,5638,5.42
0.81,2.86,91793,3.33,5584,6.08
0.813,2.84,90311,3.28,5548,6.14
0.816,2.76,83822,3.04,5498,6.56
0.819,2.71,81160,2.95,5462,6.73
0.822,2.64,75398,2.74,5386,7.14
0.826,2.59,67118,2.44,5327,7.94
0.829,2.55,66158,2.4,5298,8.01
0.832,2.54,56044,2.03,5246,9.36
0.835,2.46,55824,2.03,5195,9.31
0.838,2.35,52155,1.89,5136,9.85
0.842,2.3,47499,1.72,5081,10.7
0.845,2.29,44989,1.63,5058,11.24
0.848,2.23,41817,1.52,4997,11.95
0.851,2.15,30966,1.12,4939,15.95
0.854,2.11,30810,1.12,4895,15.89
0.858,2.05,27594,1.0,4836,17.53
0.861,2.01,27449,1.0,4771,17.38
0.864,1.85,23847,0.87,4682,19.63
0.867,1.72,23653,0.86,4614,19.51
0.87,1.64,23428,0.85,4561,19.47
0.874,1.54,23101,0.84,4491,19.44
0.877,1.43,22759,0.83,4407,19.36
0.88,1.35,22468,0.82,4346,19.34
0.883,1.28,22212,0.81,4286,19.3
0.886,1.21,21807,0.79,4224,19.37
0.89,1.08,21231,0.77,4123,19.42
0.893,1.03,20771,0.75,4079,19.64
0.896,0.93,20102,0.73,3981,19.8
0.899,0.88,19345,0.7,3896,20.14
0.902,0.82,18293,0.66,3833,20.95
0.906,0.73,17104,0.62,3704,21.66
0.909,0.62,16145,0.59,3561,22.06
0.912,0.58,15224,0.55,3454,22.69
0.915,0.59,14320,0.52,3378,23.59
0.918,0.59,13945,0.51,3273,23.47
0.922,0.59,13001,0.47,3101,23.85
0.925,0.52,12557,0.46,2933,23.36
0.928,0.52,12143,0.44,2816,23.19
0.931,0.54,11720,0.43,2577,21.99
0.934,0.63,11360,0.41,2421,21.31
0.938,0.56,10933,0.4,2195,20.08
0.941,0.4,10437,0.38,2002,19.18
0.944,0.45,10046,0.36,1841,18.33
0.947,0.34,9627,0.35,1697,17.63
0.95,0.41,9056,0.33,1554,17.16
0.954,0.53,8092,0.29,1427,17.63
0.957,0.57,6922,0.25,1277,18.45
0.96,0.33,5117,0.19,1174,22.94
0.964,0.53,3004,0.11,1028,34.22
0.969,1.63,2317,0.08,813,35.09
0.973,2.03,1972,0.07,661,33.52
0.978,2.54,1635,0.06,498,30.46
0.982,2.92,947,0.03,345,36.43
0.987,3.52,164,0.01,79,48.17
0.991,3.89,38,0.0,38,100.0
