seil,dist,nb_saud,%saud_/total,nb_saud_hcc,saud_hcc/saud
0.5,4.64,463065,16.81,7066,1.53
0.53,4.55,317491,11.52,7003,2.21
0.56,4.48,310372,11.26,6945,2.24
0.59,4.41,279487,10.14,6874,2.46
0.62,4.32,256628,9.31,6770,2.64
0.65,4.23,238114,8.64,6647,2.79
0.68,4.14,227811,8.27,6529,2.87
0.71,3.94,213280,7.74,6327,2.97
0.74,3.71,202044,7.33,6113,3.03
0.77,3.39,176105,6.39,5848,3.32
0.8,3.12,105513,3.83,5584,5.29
0.803,3.09,93284,3.39,5549,5.95
0.806,3.04,92244,3.35,5509,5.97
0.81,2.99,84784,3.08,5472,6.45
0.813,2.97,84564,3.07,5449,6.44
0.816,2.91,77550,2.81,5406,6.97
0.819,2.88,74981,2.72,5372,7.16
0.822,2.84,70205,2.55,5330,7.59
0.826,2.79,66614,2.42,5286,7.94
0.829,2.75,60552,2.2,5246,8.66
0.832,2.72,51534,1.87,5203,10.1
0.835,2.63,51247,1.86,5138,10.03
0.838,2.6,51078,1.85,5110,10.0
0.842,2.55,46722,1.7,5049,10.81
0.845,2.5,44685,1.62,5004,11.2
0.848,2.4,37826,1.37,4927,13.03
0.851,2.36,37635,1.37,4893,13.0
0.854,2.25,30510,1.11,4839,15.86
0.858,2.21,30254,1.1,4778,15.79
0.861,2.12,30066,1.09,4713,15.68
0.864,2.05,29680,1.08,4665,15.72
0.867,1.93,29493,1.07,4574,15.51
0.87,1.83,29213,1.06,4491,15.37
0.874,1.73,22634,0.82,4400,19.44
0.877,1.6,22270,0.81,4324,19.42
0.88,1.56,21971,0.8,4283,19.49
0.883,1.47,21666,0.79,4208,19.42
0.886,1.34,21305,0.77,4110,19.29
0.89,1.26,20481,0.74,4036,19.71
0.893,1.07,20130,0.73,3914,19.44
0.896,1.01,19458,0.71,3850,19.79
0.899,0.94,18713,0.68,3777,20.18
0.902,0.91,17930,0.65,3718,20.74
0.906,0.86,17195,0.62,3638,21.16
0.909,0.82,16621,0.6,3543,21.32
0.912,0.78,15998,0.58,3455,21.6
0.915,0.74,15530,0.56,3371,21.71
0.918,0.68,15144,0.55,3265,21.56
0.922,0.64,14701,0.53,3172,21.58
0.925,0.59,13743,0.5,3083,22.43
0.928,0.56,13069,0.47,3024,23.14
0.931,0.52,12763,0.46,2910,22.8
0.934,0.5,12420,0.45,2782,22.4
0.938,0.51,12083,0.44,2642,21.87
0.941,0.55,11533,0.42,2522,21.87
0.944,0.54,11282,0.41,2393,21.21
0.947,0.59,11013,0.4,2279,20.69
0.95,0.68,10709,0.39,2146,20.04
0.954,0.67,10230,0.37,1960,19.16
0.957,0.66,9998,0.36,1840,18.4
0.96,0.57,9612,0.35,1728,17.98
0.964,0.49,8829,0.32,1593,18.04
0.969,0.45,8112,0.29,1426,17.58
0.973,0.39,6628,0.24,1331,20.08
0.978,0.36,5668,0.21,1215,21.44
0.982,0.41,4774,0.17,1119,23.44
0.987,0.41,3091,0.11,936,30.28
0.991,1.23,2358,0.09,716,30.36
0.996,1.83,1743,0.06,314,18.01
