seil,dist,nb_saud,%saud_/total,nb_saud_hcc,saud_hcc/saud
0.5,4.64,463625,16.83,6962,1.5
0.53,4.58,317926,11.54,6906,2.17
0.56,4.52,310861,11.28,6843,2.2
0.59,4.48,279076,10.13,6771,2.43
0.62,4.41,258109,9.37,6692,2.59
0.65,4.31,238513,8.66,6573,2.76
0.68,4.24,225633,8.19,6464,2.86
0.71,4.12,215710,7.83,6309,2.92
0.74,3.96,202178,7.34,6097,3.02
0.77,3.69,180222,6.54,5859,3.25
0.8,3.2,107897,3.92,5476,5.08
0.803,3.13,97237,3.53,5433,5.59
0.806,3.11,94558,3.43,5404,5.72
0.81,2.96,92330,3.35,5317,5.76
0.813,2.91,77802,2.82,5272,6.78
0.816,2.86,74649,2.71,5233,7.01
0.819,2.83,71776,2.61,5202,7.25
0.822,2.78,69860,2.54,5155,7.38
0.826,2.68,59956,2.18,5092,8.49
0.829,2.65,51815,1.88,5059,9.76
0.832,2.57,51701,1.88,5011,9.69
0.835,2.47,51079,1.85,4939,9.67
0.838,2.46,50636,1.84,4905,9.69
0.842,2.32,50489,1.83,4825,9.56
0.845,2.28,46589,1.69,4789,10.28
0.848,2.17,46355,1.68,4707,10.15
0.851,2.1,39397,1.43,4658,11.82
0.854,2.02,33127,1.2,4587,13.85
0.858,1.96,32861,1.19,4544,13.83
0.861,1.9,29806,1.08,4483,15.04
0.864,1.88,29468,1.07,4446,15.09
0.867,1.8,29281,1.06,4382,14.97
0.87,1.73,28939,1.05,4301,14.86
0.874,1.59,25529,0.93,4198,16.44
0.877,1.43,21736,0.79,4092,18.83
0.88,1.34,21416,0.78,4023,18.79
0.883,1.2,21173,0.77,3928,18.55
0.886,1.12,20582,0.75,3824,18.58
0.89,1.05,19972,0.72,3737,18.71
0.893,1.02,19640,0.71,3676,18.72
0.896,0.97,19036,0.69,3614,18.99
0.899,0.92,18377,0.67,3542,19.27
0.902,0.89,18023,0.65,3483,19.33
0.906,0.84,16872,0.61,3395,20.12
0.909,0.85,16566,0.6,3356,20.26
0.912,0.82,15665,0.57,3313,21.15
0.915,0.74,15372,0.56,3198,20.8
0.918,0.74,14901,0.54,3146,21.11
0.922,0.68,14352,0.52,3029,21.11
0.925,0.62,13799,0.5,2936,21.28
0.928,0.56,13093,0.48,2826,21.58
0.931,0.58,12622,0.46,2754,21.82
0.934,0.53,12367,0.45,2661,21.52
0.938,0.45,11861,0.43,2500,21.08
0.941,0.45,11404,0.41,2401,21.05
0.944,0.4,10714,0.39,2221,20.73
0.947,0.39,10393,0.38,2113,20.33
0.95,0.32,10197,0.37,1995,19.56
0.954,0.29,9914,0.36,1844,18.6
0.957,0.27,9459,0.34,1737,18.36
0.96,0.31,9034,0.33,1625,17.99
0.964,0.36,8620,0.31,1508,17.49
0.969,0.43,7585,0.28,1411,18.6
0.973,0.37,6634,0.24,1319,19.88
0.978,0.33,5559,0.2,1223,22.0
0.982,0.28,4942,0.18,1154,23.35
0.987,0.46,3712,0.13,1025,27.61
0.991,1.13,2757,0.1,865,31.37
0.996,2.44,1947,0.07,497,25.53
