seil,dist,nb_saud,%saud_/total,nb_saud_hcc,saud_hcc/saud
0.5,4.62,459587,16.68,6956,1.51
0.53,4.54,318256,11.55,6883,2.16
0.56,4.46,306916,11.14,6796,2.21
0.59,4.38,277914,10.09,6717,2.42
0.62,4.33,256497,9.31,6636,2.59
0.65,4.27,238213,8.65,6532,2.74
0.68,4.18,225081,8.17,6421,2.85
0.71,4.07,214672,7.79,6284,2.93
0.74,3.89,201085,7.3,6073,3.02
0.77,3.62,178887,6.49,5812,3.25
0.8,3.24,107430,3.9,5457,5.08
0.803,3.19,96473,3.5,5428,5.63
0.806,3.09,94022,3.41,5371,5.71
0.81,3.0,82459,2.99,5302,6.43
0.813,2.96,77743,2.82,5266,6.77
0.816,2.91,73490,2.67,5227,7.11
0.819,2.85,72499,2.63,5186,7.15
0.822,2.77,69398,2.52,5135,7.4
0.826,2.68,58605,2.13,5055,8.63
0.829,2.53,52332,1.9,4982,9.52
0.832,2.47,51590,1.87,4937,9.57
0.835,2.39,51464,1.87,4883,9.49
0.838,2.32,50550,1.83,4842,9.58
0.842,2.22,50318,1.83,4776,9.49
0.845,2.17,46610,1.69,4739,10.17
0.848,2.11,45883,1.67,4682,10.2
0.851,2.0,45433,1.65,4602,10.13
0.854,1.93,33043,1.2,4550,13.77
0.858,1.9,32729,1.19,4501,13.75
0.861,1.9,29785,1.08,4476,15.03
0.864,1.86,29415,1.07,4436,15.08
0.867,1.84,29140,1.06,4410,15.13
0.87,1.78,28766,1.04,4355,15.14
0.874,1.65,25409,0.92,4257,16.75
0.877,1.56,21808,0.79,4182,19.18
0.88,1.46,21288,0.77,4105,19.28
0.883,1.26,20728,0.75,3979,19.2
0.886,1.19,20435,0.74,3909,19.13
0.89,1.14,20081,0.73,3823,19.04
0.893,1.05,19671,0.71,3737,19.0
0.896,1.02,18966,0.69,3700,19.51
0.899,0.95,18553,0.67,3620,19.51
0.902,0.88,18179,0.66,3554,19.55
0.906,0.85,17015,0.62,3462,20.35
0.909,0.81,16468,0.6,3383,20.54
0.912,0.79,15784,0.57,3323,21.05
0.915,0.69,15290,0.55,3233,21.14
0.918,0.66,14830,0.54,3163,21.33
0.922,0.61,14040,0.51,3036,21.62
0.925,0.55,13664,0.5,2930,21.44
0.928,0.48,13129,0.48,2825,21.52
0.931,0.41,12621,0.46,2742,21.73
0.934,0.37,12285,0.45,2624,21.36
0.938,0.34,11897,0.43,2467,20.74
0.941,0.39,11630,0.42,2354,20.24
0.944,0.39,11041,0.4,2253,20.41
0.947,0.44,10684,0.39,2117,19.81
0.95,0.4,10469,0.38,2004,19.14
0.954,0.38,10176,0.37,1867,18.35
0.957,0.38,9773,0.35,1762,18.03
0.96,0.38,9398,0.34,1671,17.78
0.964,0.38,9037,0.33,1573,17.41
0.969,0.49,7830,0.28,1482,18.93
0.973,0.48,7273,0.26,1414,19.44
0.978,0.41,6042,0.22,1337,22.13
0.982,0.27,5547,0.2,1281,23.09
0.987,0.18,4740,0.17,1185,25.0
0.991,0.6,4274,0.16,1043,24.4
0.996,1.72,2713,0.1,719,26.5
