seil,dist,nb_saud,%saud_/total,nb_saud_hcc,saud_hcc/saud
0.5,4.63,439126,15.94,7077,1.61
0.53,4.54,317794,11.53,7021,2.21
0.56,4.49,310958,11.29,6981,2.24
0.59,4.43,275071,9.98,6940,2.52
0.62,4.39,266354,9.67,6869,2.58
0.65,4.34,236306,8.58,6778,2.87
0.68,4.22,227104,8.24,6651,2.93
0.71,4.04,214901,7.8,6461,3.01
0.74,3.87,202650,7.35,6259,3.09
0.77,3.58,177818,6.45,6014,3.38
0.8,3.22,103932,3.77,5696,5.48
0.803,3.19,99370,3.61,5670,5.71
0.806,3.14,90430,3.28,5630,6.23
0.81,3.07,85982,3.12,5566,6.47
0.813,3.0,83348,3.03,5511,6.61
0.816,2.95,79484,2.88,5465,6.88
0.819,2.85,72909,2.65,5395,7.4
0.822,2.82,70498,2.56,5362,7.61
0.826,2.75,62878,2.28,5302,8.43
0.829,2.66,56170,2.04,5230,9.31
0.832,2.57,53058,1.93,5164,9.73
0.835,2.55,52670,1.91,5141,9.76
0.838,2.5,51059,1.85,5101,9.99
0.842,2.39,47165,1.71,5040,10.69
0.845,2.35,46875,1.7,4998,10.66
0.848,2.27,41818,1.52,4941,11.82
0.851,2.23,33603,1.22,4903,14.59
0.854,2.19,30688,1.11,4865,15.85
0.858,2.07,30460,1.11,4788,15.72
0.861,2.0,30223,1.1,4732,15.66
0.864,1.93,27148,0.99,4678,17.23
0.867,1.81,26890,0.98,4593,17.08
0.87,1.74,23210,0.84,4540,19.56
0.874,1.61,22753,0.83,4436,19.5
0.877,1.48,22326,0.81,4344,19.46
0.88,1.38,21982,0.8,4278,19.46
0.883,1.31,21543,0.78,4224,19.61
0.886,1.24,21060,0.76,4162,19.76
0.89,1.18,20534,0.75,4082,19.88
0.893,1.09,19847,0.72,3996,20.13
0.896,1.04,19411,0.7,3937,20.28
0.899,0.97,18636,0.68,3849,20.65
0.902,0.91,18127,0.66,3779,20.85
0.906,0.82,17298,0.63,3672,21.23
0.909,0.79,16261,0.59,3612,22.21
0.912,0.71,15754,0.57,3510,22.28
0.915,0.68,15466,0.56,3425,22.15
0.918,0.65,14972,0.54,3340,22.31
0.922,0.6,14195,0.52,3199,22.54
0.925,0.57,13464,0.49,3115,23.14
0.928,0.52,12996,0.47,3002,23.1
0.931,0.47,12538,0.46,2866,22.86
0.934,0.47,12292,0.45,2762,22.47
0.938,0.46,11829,0.43,2631,22.24
0.941,0.55,11502,0.42,2494,21.68
0.944,0.6,11287,0.41,2344,20.77
0.947,0.7,11032,0.4,2224,20.16
0.95,0.61,10788,0.39,2100,19.47
0.954,0.49,10405,0.38,1891,18.17
0.957,0.46,10126,0.37,1784,17.62
0.96,0.44,9709,0.35,1681,17.31
0.964,0.57,9265,0.34,1540,16.62
0.969,0.51,8303,0.3,1454,17.51
0.973,0.48,7137,0.26,1387,19.43
0.978,0.35,5975,0.22,1302,21.79
0.982,0.19,5462,0.2,1201,21.99
0.987,0.83,4385,0.16,1040,23.72
0.991,1.51,3819,0.14,887,23.23
0.996,2.42,2347,0.09,429,18.28
