seil,dist,nb_saud,%saud_/total,nb_saud_hcc,saud_hcc/saud
0.5,4.67,463779,16.83,7088,1.53
0.53,4.61,317612,11.53,7042,2.22
0.56,4.52,306819,11.14,6962,2.27
0.59,4.45,275040,9.98,6888,2.5
0.62,4.37,259336,9.41,6792,2.62
0.65,4.28,236919,8.6,6671,2.82
0.68,4.14,227155,8.24,6518,2.87
0.71,4.03,213029,7.73,6356,2.98
0.74,3.84,202136,7.34,6154,3.04
0.77,3.54,175014,6.35,5892,3.37
0.8,3.19,106080,3.85,5596,5.28
0.803,3.16,94920,3.45,5565,5.86
0.806,3.13,92280,3.35,5532,5.99
0.81,3.08,88951,3.23,5491,6.17
0.813,3.01,84907,3.08,5451,6.42
0.816,2.94,79441,2.88,5409,6.81
0.819,2.89,73666,2.67,5365,7.28
0.822,2.85,73563,2.67,5328,7.24
0.826,2.82,62160,2.26,5277,8.49
0.829,2.79,53635,1.95,5253,9.79
0.832,2.73,51681,1.88,5202,10.07
0.835,2.72,51257,1.86,5179,10.1
0.838,2.66,50554,1.83,5131,10.15
0.842,2.59,46829,1.7,5086,10.86
0.845,2.57,44821,1.63,5052,11.27
0.848,2.52,44034,1.6,5010,11.38
0.851,2.4,30907,1.12,4945,16.0
0.854,2.31,30631,1.11,4875,15.92
0.858,2.21,30471,1.11,4811,15.79
0.861,2.16,30266,1.1,4770,15.76
0.864,2.08,30010,1.09,4716,15.71
0.867,1.93,29655,1.08,4633,15.62
0.87,1.86,26422,0.96,4578,17.33
0.874,1.77,22748,0.83,4506,19.81
0.877,1.66,22456,0.82,4416,19.67
0.88,1.57,22160,0.8,4358,19.67
0.883,1.49,21964,0.8,4288,19.52
0.886,1.4,21655,0.79,4237,19.57
0.89,1.3,20914,0.76,4118,19.69
0.893,1.2,20397,0.74,4036,19.79
0.896,1.1,19758,0.72,3947,19.98
0.899,1.04,19126,0.69,3889,20.33
0.902,0.95,18497,0.67,3807,20.58
0.906,0.86,17276,0.63,3691,21.36
0.909,0.83,16534,0.6,3616,21.87
0.912,0.75,16034,0.58,3487,21.75
0.915,0.71,15509,0.56,3407,21.97
0.918,0.7,15166,0.55,3337,22.0
0.922,0.61,14084,0.51,3185,22.61
0.925,0.57,13521,0.49,3099,22.92
0.928,0.54,12991,0.47,2996,23.06
0.931,0.52,12720,0.46,2903,22.82
0.934,0.45,12383,0.45,2759,22.28
0.938,0.4,11961,0.43,2567,21.46
0.941,0.44,11639,0.42,2438,20.95
0.944,0.47,11269,0.41,2315,20.54
0.947,0.53,11056,0.4,2207,19.96
0.95,0.59,10863,0.39,2108,19.41
0.954,0.54,10519,0.38,1962,18.65
0.957,0.54,10154,0.37,1852,18.24
0.96,0.5,9888,0.36,1775,17.95
0.964,0.42,9361,0.34,1680,17.95
0.969,0.37,8491,0.31,1512,17.81
0.973,0.4,7866,0.29,1430,18.18
0.978,0.42,6197,0.22,1337,21.57
0.982,0.3,5080,0.18,1230,24.21
0.987,0.74,4465,0.16,1049,23.49
0.991,1.31,3842,0.14,857,22.31
0.996,2.17,2298,0.08,392,17.06
