seil,dist,nb_saud,%saud_/total,nb_saud_hcc,saud_hcc/saud
0.5,4.62,438287,15.91,7057,1.61
0.53,4.53,317270,11.51,6997,2.21
0.56,4.43,313481,11.38,6923,2.21
0.59,4.37,275539,10.0,6858,2.49
0.62,4.28,260784,9.46,6759,2.59
0.65,4.23,235278,8.54,6696,2.85
0.68,4.13,224164,8.14,6568,2.93
0.71,4.04,213851,7.76,6456,3.02
0.74,3.83,203696,7.39,6258,3.07
0.77,3.63,170963,6.2,6033,3.53
0.8,3.37,111272,4.04,5746,5.16
0.803,3.35,107157,3.89,5713,5.33
0.806,3.26,94423,3.43,5658,5.99
0.81,3.15,88064,3.2,5588,6.35
0.813,3.07,83906,3.05,5545,6.61
0.816,3.05,80092,2.91,5512,6.88
0.819,3.01,79307,2.88,5471,6.9
0.822,2.97,75901,2.75,5438,7.16
0.826,2.93,60000,2.18,5398,9.0
0.829,2.89,55960,2.03,5371,9.6
0.832,2.85,51937,1.88,5337,10.28
0.835,2.81,51392,1.87,5304,10.32
0.838,2.69,50666,1.84,5223,10.31
0.842,2.6,45064,1.64,5164,11.46
0.845,2.54,42521,1.54,5118,12.04
0.848,2.51,39592,1.44,5091,12.86
0.851,2.42,31440,1.14,5035,16.01
0.854,2.32,31076,1.13,4963,15.97
0.858,2.2,30807,1.12,4880,15.84
0.861,2.13,30551,1.11,4830,15.81
0.864,2.06,27421,1.0,4785,17.45
0.867,2.0,27081,0.98,4724,17.44
0.87,1.9,23449,0.85,4647,19.82
0.874,1.71,23222,0.84,4539,19.55
0.877,1.6,22892,0.83,4457,19.47
0.88,1.48,22524,0.82,4378,19.44
0.883,1.39,21872,0.79,4318,19.74
0.886,1.3,21613,0.78,4256,19.69
0.89,1.12,20981,0.76,4131,19.69
0.893,1.04,20554,0.75,4068,19.79
0.896,0.94,19783,0.72,4008,20.26
0.899,0.87,19101,0.69,3949,20.67
0.902,0.8,18388,0.67,3876,21.08
0.906,0.73,17417,0.63,3781,21.71
0.909,0.68,16737,0.61,3716,22.2
0.912,0.65,16327,0.59,3662,22.43
0.915,0.57,15793,0.57,3585,22.7
0.918,0.53,15416,0.56,3507,22.75
0.922,0.46,14542,0.53,3408,23.44
0.925,0.42,13733,0.5,3330,24.25
0.928,0.35,13448,0.49,3229,24.01
0.931,0.3,12953,0.47,3086,23.82
0.934,0.31,12556,0.46,2983,23.76
0.938,0.32,12138,0.44,2835,23.36
0.941,0.34,11775,0.43,2702,22.95
0.944,0.44,11470,0.42,2538,22.13
0.947,0.46,11268,0.41,2426,21.53
0.95,0.49,11088,0.4,2311,20.84
0.954,0.51,10601,0.38,2113,19.93
0.957,0.52,10333,0.38,1990,19.26
0.96,0.55,9970,0.36,1889,18.95
0.964,0.6,9461,0.34,1748,18.48
0.969,0.66,8635,0.31,1612,18.67
0.973,0.64,7495,0.27,1523,20.32
0.978,0.51,6254,0.23,1417,22.66
0.982,0.38,5345,0.19,1319,24.68
0.987,0.21,4594,0.17,1146,24.95
0.991,1.1,4017,0.15,937,23.33
0.996,1.52,2557,0.09,498,19.48
