seil,dist,nb_saud,%saud_/total,nb_saud_hcc,saud_hcc/saud
0.5,4.68,463047,16.81,7103,1.53
0.53,4.6,317536,11.52,7040,2.22
0.56,4.51,311066,11.29,6970,2.24
0.59,4.43,279671,10.15,6902,2.47
0.62,4.33,255849,9.29,6801,2.66
0.65,4.26,236061,8.57,6695,2.84
0.68,4.13,225933,8.2,6550,2.9
0.71,3.98,213804,7.76,6384,2.99
0.74,3.77,201597,7.32,6180,3.07
0.77,3.44,173472,6.3,5917,3.41
0.8,3.09,98692,3.58,5617,5.69
0.803,3.03,92174,3.35,5582,6.06
0.806,2.99,88598,3.22,5549,6.26
0.81,2.95,85333,3.1,5508,6.45
0.813,2.96,79759,2.89,5482,6.87
0.816,2.94,77752,2.82,5464,7.03
0.819,2.88,75345,2.73,5419,7.19
0.822,2.86,72890,2.65,5393,7.4
0.826,2.78,60297,2.19,5321,8.82
0.829,2.71,51897,1.88,5278,10.17
0.832,2.65,51583,1.87,5243,10.16
0.835,2.6,50900,1.85,5203,10.22
0.838,2.58,50783,1.84,5179,10.2
0.842,2.48,46170,1.68,5099,11.04
0.845,2.38,44173,1.6,5034,11.4
0.848,2.33,37419,1.36,4992,13.34
0.851,2.25,37256,1.35,4936,13.25
0.854,2.21,30761,1.12,4893,15.91
0.858,2.07,30340,1.1,4797,15.81
0.861,1.99,30099,1.09,4751,15.78
0.864,1.92,29835,1.08,4695,15.74
0.867,1.73,29373,1.07,4576,15.58
0.87,1.63,29141,1.06,4510,15.48
0.874,1.58,22437,0.81,4452,19.84
0.877,1.49,22250,0.81,4368,19.63
0.88,1.37,22073,0.8,4287,19.42
0.883,1.36,21904,0.79,4251,19.41
0.886,1.3,21363,0.78,4191,19.62
0.89,1.18,21022,0.76,4092,19.47
0.893,1.15,20479,0.74,4039,19.72
0.896,1.1,19957,0.72,3970,19.89
0.899,1.04,19141,0.69,3898,20.36
0.902,0.98,18569,0.67,3807,20.5
0.906,0.96,17511,0.64,3719,21.24
0.909,0.91,16862,0.61,3655,21.68
0.912,0.87,16214,0.59,3578,22.07
0.915,0.8,15925,0.58,3470,21.79
0.918,0.72,15562,0.56,3368,21.64
0.922,0.67,14693,0.53,3270,22.26
0.925,0.61,14066,0.51,3168,22.52
0.928,0.58,13462,0.49,3062,22.75
0.931,0.51,12855,0.47,2949,22.94
0.934,0.5,12617,0.46,2848,22.57
0.938,0.49,12220,0.44,2676,21.9
0.941,0.51,11818,0.43,2540,21.49
0.944,0.5,11534,0.42,2421,20.99
0.947,0.55,11157,0.4,2296,20.58
0.95,0.62,10816,0.39,2148,19.86
0.954,0.61,10407,0.38,1998,19.2
0.957,0.58,10002,0.36,1873,18.73
0.96,0.53,9820,0.36,1797,18.3
0.964,0.39,9091,0.33,1665,18.31
0.969,0.23,8316,0.3,1498,18.01
0.973,0.28,6935,0.25,1415,20.4
0.978,0.38,5935,0.22,1316,22.17
0.982,0.27,5242,0.19,1206,23.01
0.987,0.54,4466,0.16,1025,22.95
0.991,1.14,3919,0.14,841,21.46
0.996,1.52,2363,0.09,362,15.32
