seil,dist,nb_saud,%saud_/total,nb_saud_hcc,saud_hcc/saud
0.5,4.67,459098,16.66,7112,1.55
0.53,4.58,318093,11.54,7061,2.22
0.56,4.5,315536,11.45,7015,2.22
0.59,4.44,276990,10.05,6959,2.51
0.62,4.38,265985,9.65,6899,2.59
0.65,4.27,238435,8.65,6799,2.85
0.68,4.16,229946,8.35,6661,2.9
0.71,4.0,215726,7.83,6504,3.01
0.74,3.75,207679,7.54,6290,3.03
0.77,3.52,181840,6.6,6080,3.34
0.8,3.06,126500,4.59,5695,4.5
0.803,2.97,112645,4.09,5628,5.0
0.806,2.93,100164,3.64,5591,5.58
0.81,2.89,92062,3.34,5548,6.03
0.813,2.85,86870,3.15,5501,6.33
0.816,2.83,85072,3.09,5456,6.41
0.819,2.79,83007,3.01,5419,6.53
0.822,2.78,78838,2.86,5378,6.82
0.826,2.67,68508,2.49,5288,7.72
0.829,2.58,59532,2.16,5223,8.77
0.832,2.52,56011,2.03,5176,9.24
0.835,2.46,55894,2.03,5126,9.17
0.838,2.42,55766,2.02,5094,9.13
0.842,2.32,50801,1.84,5016,9.87
0.845,2.28,46606,1.69,4980,10.69
0.848,2.18,46141,1.67,4911,10.64
0.851,2.11,46001,1.67,4849,10.54
0.854,2.08,37846,1.37,4808,12.7
0.858,2.0,33435,1.21,4746,14.19
0.861,1.9,30482,1.11,4669,15.32
0.864,1.79,30196,1.1,4562,15.11
0.867,1.73,30041,1.09,4514,15.03
0.87,1.66,29686,1.08,4448,14.98
0.874,1.43,23113,0.84,4301,18.61
0.877,1.33,22934,0.83,4237,18.47
0.88,1.28,22602,0.82,4193,18.55
0.883,1.22,22242,0.81,4133,18.58
0.886,1.16,21974,0.8,4087,18.6
0.89,1.11,21515,0.78,4019,18.68
0.893,1.04,21150,0.77,3935,18.61
0.896,0.98,20509,0.74,3854,18.79
0.899,0.94,19682,0.71,3763,19.12
0.902,0.9,18865,0.68,3684,19.53
0.906,0.8,17612,0.64,3573,20.29
0.909,0.72,16432,0.6,3452,21.01
0.912,0.66,15696,0.57,3371,21.48
0.915,0.64,14467,0.53,3302,22.82
0.918,0.64,13806,0.5,3218,23.31
0.922,0.66,13385,0.49,3129,23.38
0.925,0.67,12984,0.47,3031,23.34
0.928,0.63,12445,0.45,2850,22.9
0.931,0.64,12150,0.44,2700,22.22
0.934,0.65,11628,0.42,2503,21.53
0.938,0.64,11069,0.4,2253,20.35
0.941,0.6,10794,0.39,2160,20.01
0.944,0.51,10335,0.38,2074,20.07
0.947,0.45,9918,0.36,1864,18.79
0.95,0.42,9389,0.34,1636,17.42
0.954,0.42,8565,0.31,1511,17.64
0.957,0.42,7361,0.27,1342,18.23
0.96,0.23,5658,0.21,1230,21.74
0.964,0.79,4326,0.16,1067,24.66
0.969,1.73,2526,0.09,900,35.63
0.973,2.35,2101,0.08,733,34.89
0.978,2.84,1763,0.06,548,31.08
0.982,2.92,1316,0.05,422,32.07
0.987,4.61,429,0.02,139,32.4
0.991,4.67,72,0.0,46,63.89
